title,watched,genre,tmdb_id,release,imageurl
Equaliser 2,13-07-2020,Action,345887,2018-07-19,https://image.tmdb.org/t/p/original//cQvc9N6JiMVKqol3wcYrGshsIdZ.jpg
Sunset Boulevard,16-07-2020,Crime,599,1950-08-10,https://image.tmdb.org/t/p/original//zt8aQ6ksqK6p1AopC5zVTDS9pKT.jpg
Sneakers,19-07-2020,Crime,2322,1992-09-09,https://image.tmdb.org/t/p/original//pY7wNO4J0QMAH9Q4nJL3QLlPVvC.jpg
One False Move,20-07-2020,Crime,21128,1992-05-08,https://image.tmdb.org/t/p/original//vOnQZPvMH05ecW4OgAUcO6VhKqT.jpg
Red Rock West,23-07-2020,Crime,10427,1993-07-08,https://image.tmdb.org/t/p/original//ewofUEqU3Gpr7WSgSz3TEVPIfBg.jpg
Velvet Goldmine,25-07-2020,Drama,1808,1998-10-23,https://image.tmdb.org/t/p/original//gSbfSGT23CNr5ISIIPAksot074y.jpg
Hell or High Water,25-07-2020,Crime,338766,2016-08-12,https://image.tmdb.org/t/p/original//ljRRxqy2aXIkIBXLmOVifcOR021.jpg
Happy Death Day,26-07-2020,Horror,440021,2017-10-12,https://image.tmdb.org/t/p/original//cTaEIUYTt52ooq9quVbAQ7NpGwo.jpg
Greyhound,28-07-2020,War,516486,2020-07-10,https://image.tmdb.org/t/p/original//kjMbDciooTbJPofVXgAoFjfX8Of.jpg
Get On Up,30-07-2020,Biopic,239566,2014-08-01,https://image.tmdb.org/t/p/original//tJncRkdZkvqAyiFgdpd1rHFXygP.jpg
Fighting with my Family,02-08-2020,Biopic,445629,2019-02-14,https://image.tmdb.org/t/p/original//cVhe15rJLRjolunSWLBN6xQLyGU.jpg
Call me by your name,08-08-2020,Drama,398818,2017-09-01,https://image.tmdb.org/t/p/original//tcNniniS4rfqrLH0oORikJfnIwY.jpg
The Report,09-08-2020,Drama,524348,2019-09-12,https://image.tmdb.org/t/p/original//sG5NI6TMNR9ftOdTIXmG0hrBYSY.jpg
Dogville,13-08-2020,Drama,553,2003-05-19,https://image.tmdb.org/t/p/original//80iFKwaNumOuk5xDKSoS5H3qICc.jpg
Blue is the Warmest Colour,18-08-2020,Romance,152584,2013-10-09,https://image.tmdb.org/t/p/original//kgUk1wti2cvrptIgUz0VTAtSF6w.jpg
Heal the Living,22-08-2020,Drama,383807,2016-11-01,https://image.tmdb.org/t/p/original//4QD9bXJHOtnR7YfvmGjv8n1HTfu.jpg
Triple Frontier,22-08-2020,Crime,399361,2019-03-06,https://image.tmdb.org/t/p/original//aBw8zYuAljVM1FeK5bZKITPH8ZD.jpg
Sully,29-08-2020,Biopic,363676,2016-09-07,https://image.tmdb.org/t/p/original//5L29r3uwDe49XDMaK2xDkDht9t0.jpg
Interrogation,30-08-2020,Drama,18614,1982-12-01,https://image.tmdb.org/t/p/original//9v0ZByK1cradwYBmtmtrp2US8od.jpg
Private Life,31-08-2020,Drama,458342,2018-10-05,https://image.tmdb.org/t/p/original//c0LxunoOD30s1d9fgwFQ0JTUCva.jpg
Laura,02-09-2020,Mystery,1939,1944-10-11,https://image.tmdb.org/t/p/original//utpUn9TdBIx6x2QX91YhYzFZxg1.jpg
War for the Planet of the Apes,05-09-2020,Sci Fi,281338,2017-07-11,https://image.tmdb.org/t/p/original//ijQHiImv16vNSeZQsmih04kwn0C.jpg
Knives Out,09-09-2020,Crime,546554,2019-11-27,https://image.tmdb.org/t/p/original//pThyQovXQrw2m0s9x82twj48Jq4.jpg
Unicorn Store,12-09-2020,Comedy,423949,2017-09-11,https://image.tmdb.org/t/p/original//rGe3eWy3F3qggDZMc86bASN4I7C.jpg
Thunder Road,13-09-2020,Comedy,502422,2018-09-12,https://image.tmdb.org/t/p/original//gPk4kSs3QkcqpzjoB5P8j87xh3f.jpg
Official Secrets,16-09-2020,Biopic,393624,2019-08-30,https://image.tmdb.org/t/p/original//lyCGqSkT3PqLYQXiWs4FCVJBAYW.jpg
Message from the King,17-09-2020,Crime,301355,2016-09-13,https://image.tmdb.org/t/p/original//jHaBKUJaVuTRh66sua70ikg9Fts.jpg
Girlfriend’s Day,19-09-2020,Drama,346650,2017-01-24,https://image.tmdb.org/t/p/original//8zK4SWyi2M8BQ37pF8XnGXClBDk.jpg
To Die For,26-09-2020,Comedy,577,1995-09-22,https://image.tmdb.org/t/p/original//aedhsShrlJVhLlwhtlmFJgR4Szs.jpg
The Kindergarten Teacher,27-09-2020,Drama,489927,2018-09-23,https://image.tmdb.org/t/p/original//oE0iNFwEslCzQ8DiMsX040d3a4P.jpg
Pili,03-10-2020,Drama,543675,2018-10-12,https://image.tmdb.org/t/p/original//6wax7uySJ8pBp8j4SlRRoS2gKi1.jpg
Velvet Buzzsaw,04-10-2020,Horror,463684,2019-02-01,https://image.tmdb.org/t/p/original//3rViQPcrWthMNecp5XnkKev6BzW.jpg
The Bank Job,10-10-2020,Crime,8848,2008-02-28,https://image.tmdb.org/t/p/original//ayrGDJDsSBczjztGUWKqmzL97xg.jpg
Thirteen Days,10-10-2020,Thriller,11973,2000-12-24,https://image.tmdb.org/t/p/original//aLx9UXH9fK2v6NDMvMyW4X88K3u.jpg
The Bourne Ultimatum,11-10-2020,Thriller,2503,2007-08-03,https://image.tmdb.org/t/p/original//d4DuphCHCjVUyffExnK5nLbn39K.jpg
The Handmaiden,17-10-2020,Thriller,290098,2016-06-01,https://image.tmdb.org/t/p/original//dLlH4aNHdnmf62umnInL8xPlPzw.jpg
Changing Lanes,17-10-2020,Crime,1537,2002-04-07,https://image.tmdb.org/t/p/original//8wh9WzTKo5pJw3EgHYWA60W7Kbl.jpg
The Trial of the Chicago 7,24-10-2020,History,556984,2020-09-25,https://image.tmdb.org/t/p/original//ahf5cVdooMAlDRiJOZQNuLqa1Is.jpg
Marie Antoinette,25-10-2020,History,1887,2006-05-24,https://image.tmdb.org/t/p/original//o41nX4P9E8TWoWiCPYgudsZ8ilP.jpg
Akeelah and the Bee,31-10-2020,Drama,13751,2006-04-28,https://image.tmdb.org/t/p/original//oyIAupl1jqjuVVFXYtfoUgNsDdE.jpg
Boogie Nights,31-10-2020,Drama,4995,1997-10-07,https://image.tmdb.org/t/p/original//wnE24UPCPQsQnbBOu4zVE2qaDNm.jpg
Halloween,03-11-2020,Horror,2082,2007-08-31,https://image.tmdb.org/t/p/original//6gqqvlqQnHzOPhi1UvT6OPdunwB.jpg
Jane Got a Gun,06-11-2020,Western,174751,2015-12-31,https://image.tmdb.org/t/p/original//pYzQvLsgOnxLU2ytkg2K3Hdoqcl.jpg
My Life as a Courgette,07-11-2020,Animation,393559,2016-10-12,https://image.tmdb.org/t/p/original//2uu8fIzl76C9MFiUQhjKYSLKVq.jpg
They Live,07-11-2020,Sci Fi,8337,1988-11-23,https://image.tmdb.org/t/p/original//ngnybFTuopfbfmmEeX9jjBQQmF6.jpg
The lady vanishes,13-11-2020,Thriller,4706,1979-04-30,https://image.tmdb.org/t/p/original//7mJnCAi1DgAqYDyvA8xXBPxiTnR.jpg
The Devil’s Backbone,14-11-2020,Horror,1433,2001-04-20,https://image.tmdb.org/t/p/original//es3NIsfzm3rlyjzqDV2fCoJRwTX.jpg
Running Scared,15-11-2020,Action,15698,1986-06-27,https://image.tmdb.org/t/p/original//tQshSrj0G5o9xElzEnBcMVHAutE.jpg
Arkansas,23-11-2020,Crime,560204,2020-05-05,https://image.tmdb.org/t/p/original//ieNGttYsxunAANK9LRZa4LdkEqi.jpg
Kaleidoscope,28-11-2020,Thriller,399169,2017-11-10,https://image.tmdb.org/t/p/original//zDzdWETXeocnj1DKKZuqZUVESub.jpg
Sorry to Bother You,02-12-2020,Sci Fi,424781,2018-07-06,https://image.tmdb.org/t/p/original//peTl1V04E9ppvhgvNmSX0r2ALqO.jpg
Attack!,05-12-2020,War,32087,1956-09-19,https://image.tmdb.org/t/p/original//nvUSsVaifUj9l32Yuj2DBiVkFX9.jpg
Harold and Maude,05-12-2020,Drama,343,1971-12-20,https://image.tmdb.org/t/p/original//9qf5iOYuUUggYST1byTBRFNz5tg.jpg
Dark Waters,07-12-2020,Thriller,552178,2019-11-22,https://image.tmdb.org/t/p/original//bzvzaHqKBSuGIIWhinTQPHvT0zf.jpg
The 40 year old version,12-12-2020,Comedy,620897,2020-01-25,https://image.tmdb.org/t/p/original//ilMExVn5xyfIWAnqngqAB0OFsE5.jpg
Parasite,19-12-2020,Drama,496243,2019-05-30,https://image.tmdb.org/t/p/original//7IiTTgloJzvGI1TAYymCfbfl3vT.jpg
The Gentlemen,19-12-2020,Crime,522627,2020-01-01,https://image.tmdb.org/t/p/original//jtrhTYB7xSrJxR1vusu99nvnZ1g.jpg
Hustlers,23-12-2020,Crime,540901,2019-09-12,https://image.tmdb.org/t/p/original//zBhv8rsLOfpFW2M5b6wW78Uoojs.jpg
Home Alone 2: Lost in New York,25-12-2020,Comedy,772,1992-11-19,https://image.tmdb.org/t/p/original//uuitWHpJwxD1wruFl2nZHIb4UGN.jpg
